Frequency (Hz),Input Amplitude (two-sided),Reference Amplitude (two-sided),Mix Amplitude (two-sided),Output Amplitude (two-sided)
-998228.186631008,0.00029362128067954096,7.375611258693465e-05,0.0006039986552790008,8.545444738937132e-05
-997894.8884050879,0.0002936297040708072,7.375810922399495e-05,0.0006040153592202456,8.545675489267005e-05
-997561.5901791677,0.00029363820811438405,7.376012496820325e-05,0.0006040322230434389,8.545908447756945e-05
-997228.2919532475,0.00029364679282134064,7.376215982230637e-05,0.0006040492467736582,8.546143614707683e-05
-996894.9937273273,0.00029365545820335295,7.376421378873752e-05,0.0006040664304324712,8.546380990423147e-05
-996561.695501407,0.00029366420427593705,7.376628687040037e-05,0.0006040837740433472,8.546620575209066e-05
-996228.3972754868,0.0002936730310482312,7.376837906972002e-05,0.0006041012776304844,8.546862369373535e-05
-995895.0990495667,0.00029368193853416527,7.377049038957955e-05,0.0006041189412160478,8.547106373230643e-05
-995561.8008236465,0.0002936909267470725,7.377262083265682e-05,0.0006041367648254759,8.547352587093274e-05
-995228.5025977263,0.0002936999956999989,7.377477040175293e-05,0.0006041547484815511,8.547601011278311e-05
-994895.2043718061,0.0002937091454034557,7.377693909971201e-05,0.0006041728922097872,8.547851646109685e-05
-994561.9061458858,0.000293718375874356,7.377912692901426e-05,0.0006041911960324705,8.54810449190707e-05
-994228.6079199656,0.0002937276871240242,7.378133389297377e-05,0.0006042096599776763,8.548359548999185e-05
-993895.3096940455,0.0002937370791659653,7.378355999407084e-05,0.0006042282840661678,8.548616817712704e-05
-993562.0114681253,0.0002937465520137163,7.378580523539835e-05,0.0006042470683269386,8.54887629838142e-05
-993228.7132422051,0.0002937561056808531,7.378806961991092e-05,0.0006042660127839499,8.54913799134e-05
-992895.4150162848,0.0002937657401804813,7.379035314993368e-05,0.0006042851174606954,8.549401896925426e-05
-992562.1167903646,0.00029377545552910275,7.37926558296235e-05,0.0006043043823890487,8.549668015479807e-05
-992228.8185644444,0.00029378525173682655,7.37949776611277e-05,0.0006043238075886963,8.54993634734603e-05
-991895.5203385242,0.00029379512882170056,7.379731864717687e-05,0.0006043433930867942,8.550206892868685e-05
-991562.2221126041,0.0002938050867935241,7.379967879154674e-05,0.0006043631389111552,8.550479652399467e-05
-991228.9238866839,0.00029381512567166953,7.380205809702525e-05,0.0006043830450899395,8.550754626289582e-05
-990895.6256607636,0.00029382524546556405,7.380445656651566e-05,0.0006044031116474236,8.551031814893793e-05
-990562.3274348434,0.0002938354461945239,7.380687420335434e-05,0.0006044233386121706,8.551311218570768e-05
-990229.0292089232,0.00029384572786916245,7.38093110104533e-05,0.0006044437260105519,8.551592837680624e-05
-989895.730983003,0.000293856090506724,7.381176699125556e-05,0.0006044642738715012,8.551876672586278e-05
-989562.4327570829,0.0002938665341219676,7.381424214883962e-05,0.0006044849822222961,8.552162723656965e-05
-989229.1345311626,0.0002938770587289479,7.381673648626045e-05,0.0006045058510897939,8.55245099126021e-05
-988895.8363052424,0.0002938876643430813,7.381925000698917e-05,0.0006045268805034758,8.552741475767816e-05
-988562.5380793222,0.0002938983509805063,7.382178271407844e-05,0.0006045480704908989,8.553034177557257e-05
-988229.239853402,0.00029390911865532143,7.382433461095798e-05,0.000604569421081667,8.553329097005097e-05
-987895.9416274818,0.0002939199673845473,7.38269057009562e-05,0.0006045909323047952,8.553626234491905e-05
-987562.6434015617,0.00029393089718230146,7.382949598725619e-05,0.000604612604187719,8.553925590403246e-05
-987229.3451756414,0.0002939419080648964,7.383210547338176e-05,0.0006046344367613548,8.554227165125734e-05
-986896.0469497212,0.00029395300004911415,7.383473416264126e-05,0.0006046564300545373,8.554530959048085e-05
