Frequency (Hz),Input Real,Input Imag,Output Real,Output Imag
22330.981136653605,-68.92832795065459,56.0679588863888,0.9131916015648969,17.981323129191416
22664.279362573805,-64.60132764977543,53.380285966228044,0.7935781324622528,17.549158708528545
22997.57758849401,-60.723192981705125,50.96007751916905,0.6854564245982786,17.145516368316812
23330.875814414212,-57.22855542364806,48.76864150279853,0.5870036204635234,16.76676347268501
23664.174040334416,-54.06411954665616,46.774423852546306,0.4967176212272113,16.409895594078503
23997.47226625462,-51.185999944258036,44.951434314367994,0.41334306051869607,16.072398040662367
24330.770492174823,-48.557733225747555,43.27807129960697,0.3358153529199761,15.752141878908837
24664.068718095026,-46.14877352630615,41.73623254139388,0.2632174956993598,15.44730455726944
24997.366944015226,-43.93333968190112,40.310633616977036,0.19474589869848025,15.156308279538182
25330.66516993543,-41.8895217676303,38.98827977815822,0.12968255112936333,14.877771277588682
25663.963395855633,-39.99858138467246,37.758052305914575,0.06737149810531928,14.610468462357286
25997.261621775837,-38.24439839004905,36.61038142746418,0.0071980073143183,14.353298813697963
26330.55984769604,-36.61302951867596,35.53698537339071,-0.05143097977341626,14.10525743995306
26663.858073616244,-35.092353359372765,34.53066047948049,-0.10910647054936273,13.865410575440258
26997.156299536447,-33.67178259771553,33.585111051072666,-0.1664386000292657,13.632871926062084
27330.454525456647,-32.34202911251389,32.69481047040928,-0.2240811823467861,13.406778721786583
27663.75275137685,-31.09491093732585,31.854887051724578,-0.28276208546431025,13.186265551601347
27997.050977297054,-29.923192634047833,31.061029647536046,-0.3433229841808103,12.970433445878824
28330.349203217258,-28.820452521398483,30.309409130248465,-0.4067739418994716,12.758310539387777
28663.64742913746,-27.780971631707924,29.596612718734352,-0.4743715638577557,12.54879861875134
28996.945655057665,-26.799640358169153,28.919588763053646,-0.5477353373500486,12.340596187909497
29330.24388097787,-25.871879590032304,28.27560009435065,-0.6290276374937305,12.1320818559246
29663.54210689807,-24.99357377910799,27.662184428602547,-0.7212438871753495,11.921128609872216
29996.840332818272,-24.161013883822157,27.077120610260938,-0.8287022266842943,11.704792490811137
30330.138558738476,-23.37084853139926,26.518399714815704,-0.957915299259593,11.47876033480018
30663.43678465868,-22.62004204983495,25.984200213249466,-1.1192460379613856,11.236302819749998
30996.735010578883,-21.905838268398014,25.472866547412885,-1.3303173016356435,10.966120510304094
31330.033236499086,-21.225729182535257,24.982890581785085,-1.6238100723493178,10.647419563470065
31663.33146241929,-20.57742773753213,24.51289549090781,-2.06804356799017,10.236918307796104
31996.62968833949,-19.958844113065805,24.061621717137964,-2.8339723122830747,9.626550725152025
32329.927914259693,-19.36806499445191,23.627914694828405,-4.50431713982212,8.448309834382123
32663.226140179897,-18.80333540094586,23.210714086860122,-11.192337693552007,4.105352231514637
32996.5243661001,-18.263042710700223,22.80904432050149,21.40071413402539,24.56355381442495
33329.822592020304,-17.745702578764497,22.422006243079494,5.323669333957369,14.298847291137411
33663.12081794051,-17.249946491678834,22.04876974583339,2.9787633752755913,12.705932313380206
33996.41904386071,-16.774510741029665,21.688567227283134,2.0316372050941958,11.997975944737616
34329.717269780915,-16.31822663089244,21.340687786666848,1.5163681403238574,11.565094127998858
34663.01549570112,-15.880011761068928,21.004472054007426,1.19057116298936,11.254180261380647
34996.31372162132,-15.458862250863078,20.679307576762707,0.9647737652975756,11.008666685713337
35329.611947541525,-15.05384578709658,20.364624694351857,0.7982512112394549,10.802764702546183
35662.91017346172,-14.664095396334476,20.059892841359375,0.6698016863036464,10.623014500555028
35996.208399381925,-14.288803854851633,19.764617228307355,0.5672956518211056,10.461687345793802
36329.50662530213,-13.927218661497477,19.478335855691125,0.48328942035951483,10.314016164809045
36662.80485122233,-13.578637508444922,19.20061682288456,0.412959564141141,10.176891300915527
36996.103077142536,-13.242404193341839,18.93105589844811,0.3530416286751408,10.048190311691217
37329.40130306274,-12.917904923458746,18.66927432264759,0.30124615383651165,9.92640910977096
37662.69952898294,-12.604564968766894,18.414916816699975,0.2559190086530987,9.810447355280957
37995.99775490315,-12.301845626119,18.167649776348938,0.21583455590142586,9.699477718140322
38329.29598082335,-12.00924146135122,17.927159630166916,0.18006474482100154,9.592863086617362
38662.59420674355,-11.726277800105475,17.693151345301796,0.14789348239677835,9.490102371768279
38995.89243266376,-11.45250844163943,17.465347065385817,0.11875900300943343,9.39079399764215
