frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
3.899935261074666073e+02,5.049532414728655910e-02,3.236413409085227982e-02,-4.616405983632020593e+01,-4.701341087333317148e+01,-8.493510370129616627e-01,-4.866422974590247463e+01
3.949934431088443603e+02,5.090922550537767960e-02,3.218967094110668226e-02,-4.734665469489928569e+01,-4.821811118396956886e+01,-8.714564890702849453e-01,-4.993077885301588026e+01
3.999933601102221701e+02,5.015748684306427230e-02,3.188086298672022229e-02,-4.854920721507190251e+01,-4.943853888543210928e+01,-8.893316703602074380e-01,-5.095495129895965647e+01
4.049932771115999230e+02,4.919090608198353753e-02,3.153224856030861778e-02,-4.979144863009612010e+01,-5.067866634824456895e+01,-8.872177181484509623e-01,-5.083383075913366156e+01
4.099931941129777329e+02,4.932976970694622626e-02,3.129644448215031238e-02,-5.106191671594335446e+01,-5.193707240142550319e+01,-8.751556854821463949e-01,-5.014272719500547737e+01
4.149931111143554858e+02,5.040302518407949878e-02,3.117605066658267476e-02,-5.233008281267194661e+01,-5.320858048520889838e+01,-8.784976725369505468e-01,-5.033420894843311544e+01
4.199930281157332388e+02,5.090663388268464734e-02,3.101495998638089530e-02,-5.359095259011468926e+01,-5.449147069052267511e+01,-9.005181004079817475e-01,-5.159588652851545021e+01
4.249929451171110486e+02,5.011410472116491210e-02,3.071730380282496412e-02,-5.487145641847497046e+01,-5.579006934825418540e+01,-9.186129297792118287e-01,-5.263264388249629633e+01
4.299928621184888016e+02,4.914761251326625613e-02,3.038849215695401534e-02,-5.619439072878826380e+01,-5.710869566496664618e+01,-9.143049361783828211e-01,-5.238581403099942690e+01
4.349927791198666114e+02,4.947554666206640389e-02,3.018573277938309263e-02,-5.754357698752407657e+01,-5.844518149499133841e+01,-9.016045074672615067e-01,-5.165813306784539805e+01
4.399926961212443643e+02,5.061167681260123064e-02,3.007937540711812241e-02,-5.888496271755950318e+01,-5.979383572337766850e+01,-9.088730058181694327e-01,-5.207458734675022072e+01
4.449926131226221742e+02,5.079525269112886154e-02,2.989317734756256201e-02,-6.022128657093388426e+01,-6.115426330306045344e+01,-9.329767321265693969e-01,-5.345562913475998812e+01
4.499925301239999271e+02,4.971858353231754096e-02,2.957889615828681804e-02,-6.158715352180656311e+01,-6.253217754455284449e+01,-9.450240227462788356e-01,-5.414588804183688353e+01
4.549924471253776801e+02,4.909681769458976164e-02,2.929788333976168779e-02,-6.299729681708209483e+01,-6.393045810180115751e+01,-9.331612847190662308e-01,-5.346620321940825704e+01
4.599923641267554899e+02,4.998718672746445962e-02,2.916313891641311370e-02,-6.441871103336471549e+01,-6.534419232377896947e+01,-9.254812904142621921e-01,-5.302617195905847325e+01
4.649922811281332429e+02,5.089655678558188678e-02,2.904699157018698907e-02,-6.582504887382283698e+01,-6.676863179431127548e+01,-9.435829204884558230e-01,-5.406331896461685460e+01
