# Time,m_true,EnvelopeFactor(1+mu*m),Carrier,RF_in,RLC_out,RF_amp,Rectified,Envelope,m_hat,m_hat_norm
2.6415,-0.776486512687078,0.37881078985033756,0.5090414157503605,0.19283038076692813,-0.06188739019754022,-0.3094369509877011,0.0,0.24842719965851479,0.023363657367094337,0.1022378891356963
2.642,-0.7784623015670217,0.37723015874638266,0.4817536741017153,0.18173201495804317,-0.060748394979229264,-0.3037419748961463,0.0,0.2478061316593685,0.02274258936794804,0.09952013479420878
2.6425,-0.7804304073383289,0.37565567412933687,0.4539904997395581,0.17054410722797822,-0.05954629840735654,-0.29773149203678273,0.0,0.24718661633022007,0.022123074038799623,0.09680917483857501
2.6430000000000002,-0.7823908105765883,0.3740873515387293,0.42577929156506983,0.1592786475216134,-0.05828307405453949,-0.2914153702726974,0.0,0.24656864978939452,0.021505107497974074,0.09410499228283034
2.6435,-0.784343491933409,0.3725252064532727,0.39714789063478934,0.14794759995120665,-0.05696075609768875,-0.28480378048844374,0.0,0.24595222816492104,0.020888685873500595,0.09140757018347505
2.644,-0.7862884321366188,0.37096925429070493,0.3681245526846721,0.13656289079553213,-0.05558143638406717,-0.27790718192033587,0.0,0.24533734759450873,0.020273805303088283,0.08871689163936806
2.6445,-0.7882256119904387,0.369419510407649,0.3387379202452973,0.12513639665352297,-0.054147261443246525,-0.27073630721623265,0.0,0.24472400422552246,0.019660461934102008,0.08603293979162138
2.645,-0.7901550123756901,0.36787599009944794,0.30901699437496544,0.11367993276324595,-0.052660429448998985,-0.2633021472449949,0.0,0.24411219421495864,0.01904865192353819,0.08335569782349403
2.6455,-0.7920766142499677,0.3663387086000258,0.2789911060392322,0.1022052414973052,-0.051123187135203134,-0.25561593567601565,0.0,0.24350191372942123,0.018438371438000783,0.080685148960287
2.646,-0.7939903986478348,0.3648076810817321,0.24868988716487,0.09072398104509384,-0.04953782666988192,-0.24768913334940962,0.0,0.2428931589450977,0.017829616653677244,0.0780212764692381
2.6465,-0.7958963466810163,0.3632829226551869,0.21814324139654245,0.0792477142920119,-0.04790668249152317,-0.23953341245761584,0.0,0.24228592604773494,0.01722238375631449,0.07536406365941671
2.6470000000000002,-0.7977944395385724,0.361764448369142,0.187381314585709,0.06778789790578368,-0.04623212811185947,-0.23116064055929736,0.0,0.2416802112326156,0.01661666894119515,0.0727134938816199
2.6475,-0.7996846584870907,0.3602522732103274,0.15643446504022762,0.056355871639183486,-0.0445165728893068,-0.222582864446534,0.0,0.24107601070453405,0.0160124684131136,0.07006955052826756
2.648,-0.8015669848708777,0.3587464121032977,0.1253332335643135,0.044962847858502075,-0.04276245877727726,-0.21381229388638628,0.0,0.24047332067777272,0.015409778386352269,0.06743221703329866
2.6485,-0.8034414001121276,0.3572468799102979,0.09410831331853617,0.03361990130666778,-0.040972257051592506,-0.20486128525796254,0.0,0.2398721373760783,0.014808595084657844,0.06480147687206719
2.649,-0.8053078857111208,0.35575369143110336,0.0627905195293195,0.022337959109432197,-0.03914846502122997,-0.19574232510614986,0.0,0.2392724570326381,0.01420891474121766,0.062177313561238824
2.6495,-0.8071664232464,0.35426686140288,0.031410759078118626,0.011127791032887106,-0.03729360272663446,-0.1864680136331723,0.0,0.23867427589005652,0.013610733598636071,0.0595597106586875
2.65,-0.809016994374946,0.35278640450004317,2.937914356680471e-15,1.0364562426223608e-15,-0.03541020962982271,-0.17705104814911357,0.0,0.23807759020033137,0.01301404790891092,0.05694865176339249
2.6505,-0.810859580832373,0.35131233533410156,-0.03141075907811275,-0.01103498712634862,-0.03350084130049812,-0.16750420650249062,0.0,0.23748239622483053,0.012418853933410079,0.05434412051533571
2.6510000000000002,-0.8126941644330944,0.34984466845352447,-0.06279051952931364,-0.021966928486757284,-0.03156806610237727,-0.15784033051188637,0.0,0.23688869023426845,0.011825147942848002,0.051746100595399115
2.6515,-0.8145207270705086,0.3483834183435931,-0.09410831331850202,-0.03278577588844962,-0.029614461883909114,-0.14807230941954558,0.0,0.23629646850868277,0.011232926217262323,0.049154575725262335
2.652,-0.8163392507171842,0.34692859942625265,-0.12533323356430767,-0.04348168318202866,-0.02764261267754188,-0.1382130633877094,0.0,0.23570572733741108,0.010642185045990626,0.04656952966730098
2.6525,-0.8181497174250225,0.34548022605998197,-0.15643446504022182,-0.05404501434566818,-0.02565510541166121,-0.12827552705830605,0.0,0.23511646301906755,0.010052920727647102,0.04399094622448449
