Zeit;Kanal B;A-0,180
(s);(V);(mV)

0,00545000;-11,61417000;-40,80525000
0,00547500;-11,61417000;-40,83600000
0,00550000;-11,61417000;-40,85138000
0,00552500;-11,61417000;-40,86676000
0,00555000;-11,61417000;-40,91290000
0,00557500;-11,61417000;-40,95904000
0,00560000;-11,61417000;-40,97442000
0,00562500;-11,61417000;-40,98980000
0,00565000;-11,61417000;-41,02055000
0,00567500;-11,61417000;-41,03593000
0,00570000;-11,61417000;-41,08207000
0,00572500;-11,61417000;-41,09745000
0,00575000;-11,61417000;-41,14358000
0,00577500;-11,61417000;-41,15896000
0,00580000;-11,61417000;-41,18971000
0,00582500;-11,61417000;-41,22048000
0,00585000;-11,61417000;-41,25124000
0,00587500;-11,61417000;-41,26662000
0,00590000;-11,61417000;-41,31275000
0,00592500;-11,61417000;-41,34351000
0,00595000;-11,61417000;-41,37426000
0,00597500;-11,61417000;-41,38964000
0,00600000;-11,61417000;-41,43578000
0,00602500;-11,61417000;-41,45117000
0,00605000;-11,61417000;-41,49730000
0,00607500;-11,61417000;-41,51268000
0,00610000;-11,61417000;-41,52806000
0,00612500;-11,61417000;-41,57419000
0,00615000;-11,61417000;-41,58957000
0,00617500;-11,61417000;-41,63570000
0,00620000;-11,61417000;-41,63570000
0,00622500;-11,61417000;-41,68184000
0,00625000;-11,61417000;-41,71261000
0,00627500;-11,61417000;-41,74337000
0,00630000;-11,61417000;-41,77412000
0,00632500;-11,61417000;-41,82026000
0,00635000;-11,61417000;-41,86639000
0,00637500;-11,61417000;-41,89714000
0,00640000;-11,61417000;-41,94329000
0,00642500;-11,61417000;-41,95867000
0,00645000;-11,61417000;-42,00481000
0,00647500;-11,61417000;-42,02018000
0,00650000;-11,61417000;-42,06632000
0,00652500;-11,61417000;-42,08170000
0,00655000;-11,61417000;-42,12783000
0,00657500;-11,61417000;-42,17397000
0,00660000;-11,61417000;-42,20473000
0,00662500;-11,61417000;-42,25087000
0,00665000;-11,61417000;-42,26625000
0,00667500;-11,61417000;-42,26625000
0,00670000;-11,61417000;-42,31238000
0,00672500;-11,61417000;-42,35852000
0,00675000;-11,61417000;-42,38927000
0,00677500;-11,61417000;-42,42004000
0,00680000;-11,61417000;-42,46618000
0,00682500;-11,61417000;-42,49693000
0,00685000;-11,61417000;-42,54306000
0,00687500;-11,61417000;-42,58920000
0,00690000;-11,61417000;-42,61996000
0,00692500;-11,61417000;-42,65071000
0,00695000;-11,61417000;-42,68148000
0,00697500;-11,61417000;-42,71224000
0,00700000;-11,61417000;-42,74300000
0,00702500;-11,61417000;-42,77375000
0,00705000;-11,61417000;-42,78913000
0,00707500;-11,61417000;-42,80451000
0,00710000;-11,61417000;-42,80451000
0,00712500;-11,61417000;-42,85064000
0,00715000;-11,61417000;-42,89677000
0,00717500;-11,61417000;-42,92755000
0,00720000;-11,61417000;-42,97368000
0,00722500;-11,61417000;-43,01981000
0,00725000;-11,61417000;-43,05057000
0,00727500;-11,61417000;-43,08133000
0,00730000;-11,61417000;-43,09670000
0,00732500;-11,61417000;-43,11208000
0,00735000;-11,61417000;-43,15823000
0,00737500;-11,61417000;-43,17361000
0,00740000;-11,61417000;-43,21974000
0,00742500;-11,61417000;-43,26588000
0,00745000;-11,61417000;-43,29663000
0,00747500;-11,61417000;-43,34277000
0,00750000;-11,61417000;-43,38890000
0,00752500;-11,61417000;-43,41967000
0,00755000;-11,61417000;-43,45043000
0,00757500;-11,61417000;-43,46581000
0,00760000;-11,61417000;-43,51194000
0,00762500;-11,61417000;-43,52732000
0,00765000;-11,61417000;-43,57345000
0,00767500;-11,61417000;-43,60421000
0,00770000;-11,61417000;-43,65036000
0,00772500;-11,61417000;-43,69649000
0,00775000;-11,61417000;-43,72725000
0,00777500;-11,61417000;-43,75800000
0,00780000;-11,61417000;-43,78876000
0,00782500;-11,61417000;-43,83489000
0,00785000;-11,61417000;-43,85027000
0,00787500;-11,61417000;-43,89642000
0,00790000;-11,61417000;-43,92717000
