# f,H_in,H_out,G_ideal,G_theo,phi_ideal,phi_theo
1.020941599641498442e+03,5.059299495452134199e-01,2.076298727901161947e-03,-5.800422011858999127e+01,-4.773601102459925016e+01,8.992790390520272581e+01,1.763796887387124812e+01
1.021411915940775657e+03,5.059299505557129928e-01,2.076388747693680165e-03,-5.800021642975258374e+01,-4.773563446557982815e+01,8.992787066542759078e+01,1.764557769883679228e+01
1.021882448900263853e+03,5.059299515671451530e-01,2.076478846671642176e-03,-5.799621273788311981e+01,-4.773525759167026195e+01,8.992783741030216049e+01,1.765318936855305054e+01
1.022353198619769614e+03,5.059299525795105668e-01,2.076569024901557276e-03,-5.799220904297883550e+01,-4.773488040263406162e+01,8.992780413981923004e+01,1.766080388353113406e+01
1.022824165199148865e+03,5.059299535928103442e-01,2.076659282449985940e-03,-5.798820534503693125e+01,-4.773450289823461645e+01,8.992777085397172243e+01,1.766842124428158911e+01
1.023295348738303005e+03,5.059299546070449294e-01,2.076749619383538945e-03,-5.798420164405457200e+01,-4.773412507823518069e+01,8.992773755275248959e+01,1.767604145131427984e+01
1.023766749337176748e+03,5.059299556222155436e-01,2.076840035768876946e-03,-5.798019794002898664e+01,-4.773374694239885230e+01,8.992770423615436926e+01,1.768366450513843802e+01
1.024238367095763806e+03,5.059299566383228530e-01,2.076930531672713503e-03,-5.797619423295736851e+01,-4.773336849048865815e+01,8.992767090417027021e+01,1.769129040626265592e+01
1.024710202114104277e+03,5.059299576553680788e-01,2.077021107161812919e-03,-5.797219052283688256e+01,-4.773298972226740489e+01,8.992763755679304438e+01,1.769891915519492187e+01
1.025182254492280435e+03,5.059299586733514431e-01,2.077111762302984166e-03,-5.796818680966474346e+01,-4.773261063749784938e+01,8.992760419401551530e+01,1.770655075244249232e+01
1.025654524330425829e+03,5.059299596922745001e-01,2.077202497163096930e-03,-5.796418309343810904e+01,-4.773223123594256379e+01,8.992757081583056333e+01,1.771418519851209439e+01
1.026127011728715161e+03,5.059299607121376940e-01,2.077293311809063400e-03,-5.796017937415420107e+01,-4.773185151736399945e+01,8.992753742223104041e+01,1.772182249390971975e+01
1.026599716787372927e+03,5.059299617329420240e-01,2.077384206307851706e-03,-5.795617565181017028e+01,-4.773147148152450114e+01,8.992750401320978426e+01,1.772946263914074549e+01
1.027072639606669327e+03,5.059299627546882672e-01,2.077475180726477254e-03,-5.795217192640318160e+01,-4.773109112818622890e+01,8.992747058875961841e+01,1.773710563470994117e+01
1.027545780286918216e+03,5.059299637773774228e-01,2.077566235132010091e-03,-5.794816819793044971e+01,-4.773071045711126459e+01,8.992743714887342321e+01,1.774475148112134804e+01
1.028019138928482107e+03,5.059299648010102679e-01,2.077657369591567101e-03,-5.794416446638912532e+01,-4.773032946806151244e+01,8.992740369354400798e+01,1.775240017887843180e+01
1.028492715631770352e+03,5.059299658255879129e-01,2.077748584172321115e-03,-5.794016073177636628e+01,-4.772994816079877012e+01,8.992737022276421044e+01,1.776005172848397606e+01
1.028966510497235049e+03,5.059299668511110237e-01,2.077839878941491365e-03,-5.793615699408935882e+01,-4.772956653508471447e+01,8.992733673652682569e+01,1.776770613044011782e+01
1.029440523625379001e+03,5.059299678775802667e-01,2.077931253966349995e-03,-5.793215325332526078e+01,-4.772918459068083763e+01,8.992730323482476251e+01,1.777536338524836523e+01
1.029914755116746846e+03,5.059299689049969739e-01,2.078022709314220756e-03,-5.792814950948123709e+01,-4.772880232734855355e+01,8.992726971765075916e+01,1.778302349340949462e+01
1.030389205071932793e+03,5.059299699333613676e-01,2.078114245052476404e-03,-5.792414576255445269e+01,-4.772841974484912697e+01,8.992723618499766758e+01,1.779068645542372451e+01
1.030863873591577658e+03,5.059299709626752239e-01,2.078205861248544773e-03,-5.792014201254204409e+01,-4.772803684294367343e+01,8.992720263685833970e+01,1.779835227179060908e+01
1.031338760776365007e+03,5.059299719929387651e-01,2.078297557969901836e-03,-5.791613825944118332e+01,-4.772765362139320189e+01,8.992716907322551378e+01,1.780602094300895644e+01
1.031813866727028426e+03,5.059299730241528792e-01,2.078389335284074740e-03,-5.791213450324902823e+01,-4.772727007995855786e+01,8.992713549409205598e+01,1.781369246957702046e+01
1.032289191544347432e+03,5.059299740563186765e-01,2.078481193258642674e-03,-5.790813074396269400e+01,-4.772688621840048029e+01,8.992710189945074717e+01,1.782136685199235515e+01
1.032764735329145196e+03,5.059299750894370451e-01,2.078573131961235568e-03,-5.790412698157935978e+01,-4.772650203647955891e+01,8.992706828929441087e+01,1.782904409075182528e+01
1.033240498182295369e+03,5.059299761235086512e-01,2.078665151459536259e-03,-5.790012321609615498e+01,-4.772611753395626266e+01,8.992703466361582798e+01,1.783672418635170587e+01
1.033716480204713662e+03,5.059299771585347161e-01,2.078757251821277026e-03,-5.789611944751022321e+01,-4.772573271059093258e+01,8.992700102240777937e+01,1.784440713928752942e+01
1.034192681497366038e+03,5.059299781945157948e-01,2.078849433114242189e-03,-5.789211567581871520e+01,-4.772534756614373919e+01,8.992696736566307436e+01,1.785209295005423868e+01
1.034669102161264163e+03,5.059299792314528865e-01,2.078941695406267241e-03,-5.788811190101873905e+01,-4.772496210037477482e+01,8.992693369337450804e+01,1.785978161914608364e+01
1.035145742297463585e+03,5.059299802693467685e-01,2.079034038765239286e-03,-5.788410812310745257e+01,-4.772457631304395420e+01,8.992690000553486129e+01,1.786747314705661793e+01
