# frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg, gain
1.348904689392213550e+04,5.356325970380199086e-01,9.414709086631056767e-03,-1.375592328347936899e+01,-1.232385799965524420e+01,1.432065283824125457e+00,8.205129675032674186e+01,-3.510120188253711149e+01
1.359610282165167519e+04,5.274447491481571992e-01,9.029453193724957735e-03,-1.421051498782113853e+01,-1.280658748264674784e+01,1.403927505174389800e+00,8.043912078882357264e+01,-3.533031044193446490e+01
1.370315874938121669e+04,5.142761093577428166e-01,8.910025151686104886e-03,-1.467970668028086223e+01,-1.315034605543606361e+01,1.529360624844799732e+00,8.762590915709745332e+01,-3.522634839395281148e+01
1.381021467711075820e+04,4.987099704385894450e-01,8.715044855269376070e-03,-1.517166004291561876e+01,-1.376286166356328167e+01,1.408798379352338426e+00,8.071820132175929530e+01,-3.515156848414846280e+01
1.391727060484029789e+04,4.856930257985295207e-01,8.702000184604166688e-03,-1.568529292269537478e+01,-1.434324226863500762e+01,1.342050654060367387e+00,7.689383837043072845e+01,-3.493485558385063428e+01
1.402432653256983940e+04,4.775722794517085479e-01,1.011396427360869606e-02,-1.621715182807778532e+01,-1.478331973135535016e+01,1.433832096722436722e+00,8.215252767258925815e+01,-3.348235390294377822e+01
1.413138246029937909e+04,4.768760764039908784e-01,1.014383365386451255e-02,-1.676404513178297151e+01,-1.539478820895665656e+01,1.369256922826312728e+00,7.845264274701798968e+01,-3.344406833754194963e+01
1.423843838802892060e+04,4.843655528471896288e-01,9.307763382506717420e-03,-1.731228831959857928e+01,-1.586204219431106033e+01,1.450246125287521393e+00,8.309298223417579266e+01,-3.432655830092394211e+01
1.434549431575846211e+04,4.967411543994239009e-01,1.015580066063925986e-02,-1.785453450342553339e+01,-1.632832682394957757e+01,1.526207679475956480e+00,8.744525869442742305e+01,-3.378831948714097422e+01
1.445255024348800180e+04,5.114201407380837283e-01,1.087002257679521751e-02,-1.839117019689813048e+01,-1.690096045823181115e+01,1.490209738666320671e+00,8.538272861487354248e+01,-3.345094762593547699e+01
1.455960617121754331e+04,5.243009500921705923e-01,1.079328364557877867e-02,-1.892012622305766456e+01,-1.734070854076996682e+01,1.579417682287698188e+00,9.049396728341946528e+01,-3.372854108624552083e+01
1.466666209894708300e+04,5.322328513423673080e-01,1.079135180477394998e-02,-1.944466265611258748e+01,-1.791812351017236438e+01,1.526539145940222442e+00,8.746425032387998044e+01,-3.386051652469378581e+01
1.477371802667662450e+04,5.311071944544006884e-01,1.078696476546431131e-02,-1.997365213448505372e+01,-1.842876470097751351e+01,1.544887433507537988e+00,8.851552976277952212e+01,-3.384565848637448227e+01
1.488077395440616419e+04,5.242744159741020704e-01,1.139451603228483663e-02,-2.051441381584541190e+01,-1.897546418705822191e+01,1.538949628787188217e+00,8.817531861273062077e+01,-3.325725562663099311e+01
1.498782988213570570e+04,5.114253318141230853e-01,9.332777466779412431e-03,-2.107175343679952206e+01,-1.959171778244970241e+01,1.480035654349817653e+00,8.479979652312766802e+01,-3.477542650177613837e+01
1.509488580986524721e+04,4.957287499325831459e-01,1.008334819347327972e-02,-2.165240304613872269e+01,-2.013642397668943929e+01,1.515979069449281402e+00,8.685920250961373767e+01,-3.383278684735052622e+01
1.520194173759478690e+04,4.841204693150205074e-01,1.039865394552355778e-02,-2.225860336466538669e+01,-2.091666180675071729e+01,1.341941557914669181e+00,7.688758762172108163e+01,-3.335952639942613018e+01
1.530899766532432841e+04,4.797964771088887304e-01,9.277359904683639413e-03,-2.288204752102777562e+01,-2.140221556611421860e+01,1.479831954913558345e+00,8.478812540514081775e+01,-3.427265299923931963e+01
1.541605359305386810e+04,4.850288208736677764e-01,1.078526365534939607e-02,-2.351227567974493482e+01,-2.203987234182903165e+01,1.472403337915904054e+00,8.436249700355608638e+01,-3.305873558554682035e+01
1.552310952078340961e+04,4.978454339847167009e-01,1.139604107030787149e-02,-2.413469395088301184e+01,-2.271921356388792645e+01,1.415480386995085382e+00,8.110105215836284742e+01,-3.280681045199172274e+01
1.563016544851295112e+04,5.117980037606080224e-01,1.219546195095259564e-02,-2.474990207906025574e+01,-2.326705105804149909e+01,1.482851021018753990e+00,8.496110515103953276e+01,-3.245800664090132415e+01
1.573722137624249081e+04,5.240212151361959281e-01,1.347155172391521945e-02,-2.535581668523656873e+01,-2.388741013253424228e+01,1.468406552702326673e+00,8.413349807919780687e+01,-3.179862493894565034e+01
1.584427730397203231e+04,5.295342141217868059e-01,1.322168844009248383e-02,-2.595876520797012788e+01,-2.439684991015259641e+01,1.561915297817531911e+00,8.949115452186362063e+01,-3.205214213540708101e+01
1.595133323170157200e+04,5.258403301060107227e-01,1.354623411304786522e-02,-2.656691719904969773e+01,-2.499602801232312288e+01,1.570889186726573961e+00,9.000532048217098691e+01,-3.178070629741973363e+01
1.605838915943111351e+04,5.137424216700395840e-01,1.203945132024573927e-02,-2.719447699061815982e+01,-2.566732625028159731e+01,1.527150740336560064e+00,8.749929210156398085e+01,-3.260277466992205575e+01
1.616544508716065320e+04,4.992119316870772816e-01,1.125527293638518313e-02,-2.784178080604099748e+01,-2.625583025804060711e+01,1.585950548000388594e+00,9.086827291688234709e+01,-3.293857851877727683e+01
1.627250101489019471e+04,4.884108322446383821e-01,1.058208104630778933e-02,-2.851639407549571104e+01,-2.700648260412606660e+01,1.509911471369646208e+00,8.651155474786895638e+01,-3.328428408015605555e+01
1.637955694261973622e+04,4.833018428930382360e-01,1.077304592107325258e-02,-2.921134754832370106e+01,-2.776909501777318212e+01,1.442252530550517831e+00,8.263498299260749036e+01,-3.303759880189592479e+01
1.648661287034927591e+04,4.891750236567758980e-01,1.114981232449885167e-02,-2.991093749934427848e+01,-2.845938384044506009e+01,1.451553658899218391e+00,8.316789839169751986e+01,-3.284393434708593418e+01
1.659366879807881560e+04,5.022688985585490595e-01,1.251584685028271117e-02,-3.060377054700684241e+01,-2.926877291557892846e+01,1.334997631427913500e+00,7.648972994078087595e+01,-3.206952092755380335e+01
1.670072472580835893e+04,5.162675246062451428e-01,1.272461830908201696e-02,-3.128467577646268794e+01,-2.993293127139866527e+01,1.351744505064021995e+00,7.744925512016880020e+01,-3.216460085931318247e+01
1.680778065353789862e+04,5.263460587063961693e-01,1.477021786066261624e-02,-3.195725198299320979e+01,-3.056730027374583258e+01,1.389951709247380984e+00,7.963836666686984245e+01,-3.103768948146126405e+01
1.691483658126743831e+04,5.255828321734582476e-01,1.412152015877373400e-02,-3.263082962268242682e+01,-3.123677103919127873e+01,1.394058583491146974e+00,7.987367322802862191e+01,-3.141519441004911428e+01
1.702189250899698163e+04,5.175636505519271013e-01,1.431077775382795861e-02,-3.331619457580661248e+01,-3.184962715377006859e+01,1.466567422036541224e+00,8.402812365407521611e+01,-3.116601060490960506e+01
1.712894843672652132e+04,5.027873368392933306e-01,1.447231428234026056e-02,-3.402729731642897804e+01,-3.249373682270856278e+01,1.533560493720410589e+00,8.786654391817830856e+01,-3.081692691812694207e+01
1.723600436445606101e+04,4.893602033827275655e-01,1.297706249308352988e-02,-3.476344822315301997e+01,-3.318994521144090726e+01,1.573503011712108490e+00,9.015508162222795363e+01,-3.152904503867921449e+01
1.734306029218560070e+04,4.855107686183940952e-01,1.235556086115250155e-02,-3.552092535103162163e+01,-3.389234022833710469e+01,1.628585122694522935e+00,9.331105410819151302e+01,-3.188672805392235077e+01
1.745011621991514403e+04,4.923443716844846385e-01,1.219490023937338900e-02,-3.628759686808231777e+01,-3.470610801114020916e+01,1.581488856942107724e+00,9.061263684975159549e+01,-3.212181451331322535e+01
1.755717214764468372e+04,5.049010046361694926e-01,1.181049633258875881e-02,-3.704039617332085754e+01,-3.557405742078872635e+01,1.466338752532133860e+00,8.401502185656931943e+01,-3.261876171497340238e+01
1.766422807537422341e+04,5.188976468504060691e-01,1.276236235893393051e-02,-3.778281108400283017e+01,-3.637797642408638410e+01,1.404834659916451622e+00,8.049109692690899465e+01,-3.218301259856250596e+01
1.777128400310376674e+04,5.250968268426755570e-01,1.461043880935352160e-02,-3.851809730323584802e+01,-3.718733201281007439e+01,1.330765290425771852e+00,7.624723466389798432e+01,-3.111152268283835554e+01
1.787833993083330643e+04,5.213309452466838856e-01,1.446951200191765909e-02,-3.925631534753259899e+01,-3.792870042799818009e+01,1.327614919534422899e+00,7.606673170792282690e+01,-3.113319240487240336e+01
1.798539585856284612e+04,5.084409216822943778e-01,1.621780242221514470e-02,-4.001513107312490547e+01,-3.860524651872693624e+01,1.409884554397975220e+00,8.078043456768671149e+01,-2.992496984235449986e+01
1.809245178629238944e+04,4.947468561552463839e-01,1.573561439769163156e-02,-4.080184833965262925e+01,-3.932229396053887882e+01,1.479554379113745544e+00,8.477222148331657081e+01,-2.994998677116909391e+01
1.819950771402192913e+04,4.874808664654912138e-01,1.532942253254800623e-02,-4.161369663146792419e+01,-4.002133371719995836e+01,1.592362914267966056e+00,9.123567444070658894e+01,-3.004863558661277168e+01
1.830656364175146882e+04,4.909361796715241977e-01,1.463799955203896712e-02,-4.243722284370059583e+01,-4.085067147479002614e+01,1.586551368910574578e+00,9.090269741927920677e+01,-3.051086618388538696e+01
1.841361956948100851e+04,5.043919375119174653e-01,1.417362076254149485e-02,-4.325343329684124427e+01,-4.167777023805714265e+01,1.575663058784098292e+00,9.027884320300256604e+01,-3.102574655190643682e+01
1.852067549721055184e+04,5.171508562589087754e-01,1.345838120426518653e-02,-4.405283314821812013e+01,-4.252875569861168259e+01,1.524077449606437096e+00,8.732320551351125459e+01,-3.169248845403369330e+01
1.862773142494009153e+04,5.236816566781793414e-01,1.417573841532661187e-02,-4.484602738076540618e+01,-4.336661555825260450e+01,1.479411822512801900e+00,8.476405359174077603e+01,-3.135043342556436841e+01
