t,x,v,a,driving,energy
0.028,0.00039006704060991627,0.02778561261062173,0.9839110329368602,0.9991181296463766,0.00038632443866611104
0.029,0.00041834448574812734,0.028769066100046335,0.9832419236705779,0.999054024182676,0.0004141796063519293
0.03,0.00044760504990476853,0.029751847640926116,0.9825669685699028,0.9989876708478425,0.00044298691958584094
0.031,0.00047784805820910855,0.03073395139104308,0.9818861734061645,0.9989190697911708,0.00047274456158696783
0.032,0.0005090728299510831,0.031715371513962594,0.9811995439762222,0.9988482211670138,0.0005034507054267238
0.033,0.0005412786785870908,0.03269610217905892,0.9805070861024282,0.9987751251347804,0.0005351035140675166
0.034,0.0005744649117458151,0.03367613756154066,0.9798088056325914,0.9986997818589368,0.0005677011404015593
0.035,0.0006086308312340714,0.03465547184247623,0.979104708439941,0.9986221915090054,0.0006012417272897887
0.036000000000000004,0.000643775733042679,0.035634099208819194,0.9783948004230899,0.9985423542595644,0.0006357234076008936
0.037,0.0006798989073523598,0.036612013853433684,0.9776790875059977,0.9984602702902475,0.0006711443042504479
0.038,0.0007169996385396606,0.03758920997511971,0.9769575756379347,0.9983759397857438,0.0007075025302401517
0.039,0.0007550772051829023,0.03856568177863844,0.9762302707934443,0.9982893629357967,0.0007447961886971762
0.04,0.0007941308800681536,0.039541423474737464,0.9754971789723059,0.9982005399352042,0.0007830233729136151
0.041,0.0008341599301952299,0.04051642928017599,0.9747583061994989,0.9981094709838179,0.0008221821663860378
0.042,0.0008751636167837174,0.041490693417750045,0.9740136585251643,0.9980161562865429,0.0008622706428551473
0.043000000000000003,0.0009171411952790227,0.0424642101163176,0.9732632420245686,0.9979205960533374,0.0009032868663455406
0.044,0.0009600919153584473,0.043436973610823666,0.9725070627980656,0.9978227904992117,0.0009452288912055691
0.045,0.001004015020937287,0.044408978142325375,0.9717451269710594,0.9977227398442284,0.000988094762147302
0.046,0.001048909750174957,0.04538021795801701,0.9709774406939665,0.9976204443135014,0.0010318825142865893
0.047,0.001094775335481141,0.046350687311255,0.9702040101421789,0.9975159041371955,0.0010765901731832235
0.048,0.0011416110035219658,0.04732038046158284,0.9694248415160258,0.9974091195505261,0.0011222157548812003
0.049,0.0011894159752262015,0.04828929167475603,0.9686399410407359,0.9973000907937586,0.0011687572659490775
0.05,0.0012381894657914852,0.04925741522276696,0.9678493149663997,0.9971888181122075,0.001216212703520431
0.051000000000000004,0.001287930684690571,0.050224745383869764,0.9670529695679311,0.9970753017562363,0.0012645800553344087
0.052000000000000005,0.0013386388356776036,0.05119127644260505,0.96625091114503,0.9969595419812568,0.001313857299776374
0.053,0.0013903131167944172,0.05215700268982475,0.965443146022144,0.9968415390477284,0.0013640424059186541
0.054,0.00144295272037686,0.05312191842271678,0.9646296805484289,0.9967212932211577,0.0014151333335613743
0.055,0.001496556833061141,0.054086017944829784,0.9638105210977127,0.9965988047720977,0.0014671280332733889
0.056,0.0015511246357902044,0.05504929556609773,0.9629856740684549,0.9964740739761475,0.0015200244464333042
0.057,0.001606655303820127,0.05601174560286456,0.9621551458837093,0.9963471011139512,0.0015738205052705954
0.058,0.0016631480067265403,0.056973362377908725,0.961318942991085,0.9962178864711978,0.0016285141329068096
0.059000000000000004,0.0017206019084110766,0.05793414022046775,0.9604770718627075,0.99608643033862,0.0016841032433968653
0.06,0.0017790161671078417,0.058894073466262714,0.9596295389951803,0.9959527330119943,0.001740585741770437
0.061,0.0018383899353899096,0.059853156457522705,0.9587763509095458,0.9958167947921394,0.0017979595240734318
