Zeit;Kanal A;Kanal B;(A-B)/1000
(s);(V);(V);(mA)

0,21266837;5,71327500;0,62010950;5,09316500
0,21333504;5,71327500;0,62010950;5,09316500
0,21400172;5,71327500;0,60962100;5,10365400
0,21466839;5,71327500;0,60962100;5,10365400
0,21533506;5,81908200;0,62010950;5,19897200
0,21600173;5,71327500;0,62010950;5,09316500
0,21666840;5,81908200;0,59910180;5,21998000
0,21733508;5,81908200;0,62010950;5,19897200
0,21800175;5,71327500;0,62010950;5,09316500
0,21866842;5,81908200;0,62010950;5,19897200
0,21933509;5,81908200;0,62010950;5,19897200
0,22000176;5,71327500;0,62010950;5,09316500
0,22066844;5,71327500;0,62010950;5,09316500
0,22133511;5,81908200;0,62010950;5,19897200
0,22200178;5,71327500;0,63062870;5,08264600
0,22266845;5,81908200;0,62010950;5,19897200
0,22333512;5,71327500;0,62010950;5,09316500
0,22400180;5,71327500;0,62010950;5,09316500
0,22466847;5,71327500;0,60962100;5,10365400
0,22533514;5,81908200;0,62010950;5,19897200
0,22600181;5,81908200;0,62010950;5,19897200
0,22666848;5,71327500;0,62010950;5,09316500
0,22733516;5,71327500;0,62010950;5,09316500
0,22800183;5,71327500;0,62010950;5,09316500
0,22866850;5,81908200;0,62010950;5,19897200
0,22933517;5,71327500;0,62010950;5,09316500
0,23000185;5,81908200;0,62010950;5,19897200
0,23066852;5,71327500;0,62010950;5,09316500
0,23133519;5,81908200;0,62010950;5,19897200
0,23200186;5,81908200;0,62010950;5,19897200
0,23266853;5,71327500;0,62010950;5,09316500
0,23333521;5,71327500;0,62010950;5,09316500
0,23400188;5,81908200;0,62010950;5,19897200
0,23466855;5,81908200;0,62010950;5,19897200
0,23533522;5,81908200;0,62010950;5,19897200
0,23600189;5,71327500;0,62010950;5,09316500
0,23666857;5,71327500;0,60962100;5,10365400
0,23733524;5,81908200;0,62010950;5,19897200
0,23800191;5,81908200;0,62010950;5,19897200
0,23866858;5,71327500;0,62010950;5,09316500
0,23933525;5,81908200;0,62010950;5,19897200
0,24000193;5,71327500;0,62010950;5,09316500
