frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
6.449988901166960886e+02,2.509137753284092481e-03,1.625637682097140035e-04,-1.520678818751317884e-01,1.355966358528024829e+00,1.508034240403156589e+00,8.640399733631784329e+01
6.499988815129495379e+02,2.530913926459063198e-03,1.653503020757183151e-04,-1.554461947828963686e-01,1.352067830104409119e+00,1.507514024887305570e+00,8.637419118282235786e+01
6.549988729092029871e+02,2.553130501426452686e-03,1.681922049377931134e-04,-1.589051801376644146e-01,1.348087591736374380e+00,1.506992771874038128e+00,8.634432558510366107e+01
6.599988643054564363e+02,2.575796805961247816e-03,1.710909173734947856e-04,-1.624468216478615334e-01,1.344023643575690485e+00,1.506470465223552324e+00,8.631439961841920194e+01
6.649988557017098856e+02,2.598922358727521250e-03,1.740479173465623284e-04,-1.660731422394135237e-01,1.339873946094521706e+00,1.505947088333934980e+00,8.628441233154944712e+01
6.699988470979633348e+02,2.622516870996596545e-03,1.770647210173785036e-04,-1.697862042746905165e-01,1.335636419856324641e+00,1.505422624131014908e+00,8.625436274621642951e+01
6.749988384942168977e+02,2.646590248218283047e-03,1.801428835553382389e-04,-1.735881097359137093e-01,1.331308945322438264e+00,1.504897055058352251e+00,8.622424985651025509e+01
6.799988298904703470e+02,2.671152591396062318e-03,1.832839999495359477e-04,-1.774810003726639274e-01,1.326889362694059438e+00,1.504370363066723115e+00,8.619407262828656258e+01
6.849988212867237962e+02,2.696214198350842424e-03,1.864897058227668743e-04,-1.814670578342778007e-01,1.322375471770503630e+00,1.503842529604781042e+00,8.616382999863151326e+01
6.899988126829772455e+02,2.721785564798213843e-03,1.897616782435467084e-04,-1.855485037458452779e-01,1.317765031863094682e+00,1.503313535608939766e+00,8.613352087528204493e+01
6.949988040792306947e+02,2.747877385194789825e-03,1.931016365323915405e-04,-1.897275997714937823e-01,1.313055761722530468e+00,1.502783361494024028e+00,8.610314413609029316e+01
6.999987954754841439e+02,2.774500553438861202e-03,1.965113430676218803e-04,-1.940066476309384724e-01,1.308245339513279148e+00,1.502251987144217926e+00,8.607269862850489517e+01
7.049987868717375932e+02,2.801666163288725388e-03,1.999926040806351152e-04,-1.983879890805534119e-01,1.303331402823130203e+00,1.501719391903683976e+00,8.604218316903353525e+01
7.099987782679910424e+02,2.829385508609066555e-03,2.035472704474221284e-04,-2.028740058688016101e-01,1.298311548699666140e+00,1.501185554568468028e+00,8.601159654277915934e+01
7.149987696642444917e+02,2.857670083309110567e-03,2.071772384662627262e-04,-2.074671196298110976e-01,1.293183333747970565e+00,1.500650453377781357e+00,8.598093750294037818e+01
7.199987610604979409e+02,2.886531581036734257e-03,2.108844506248621004e-04,-2.121697917677109468e-01,1.287944274238483233e+00,1.500114066006194458e+00,8.595020477036433704e+01
7.249987524567513901e+02,2.915981894595157282e-03,2.146708963539062224e-04,-2.169845232768023713e-01,1.282591846279350634e+00,1.499576369556152589e+00,8.591939703311777521e+01
7.299987438530048394e+02,2.946033115015298312e-03,2.185386127610936837e-04,-2.219138545416935171e-01,1.277123486009229314e+00,1.499037340550922970e+00,8.588851294608298304e+01
7.349987352492582886e+02,2.976697530362162544e-03,2.224896853500713217e-04,-2.269603650747366586e-01,1.271536589853086596e+00,1.498496954927823754e+00,8.585755113056984555e+01
7.399987266455118515e+02,3.007987624131678792e-03,2.265262487128341608e-04,-2.321266732348133688e-01,1.265828514797410875e+00,1.497955188032224605e+00,8.582651017397211035e+01
7.449987180417653008e+02,3.039916073331102621e-03,2.306504872009230739e-04,-2.374154358923805386e-01,1.259996578719461358e+00,1.497412014611841702e+00,8.579538862944048105e+01
7.499987094380187500e+02,3.072495746137629720e-03,2.348646355662840294e-04,-2.428293480529339909e-01,1.254038060758727591e+00,1.496867408811661360e+00,8.576418501559180640e+01
7.549987008342721992e+02,3.105739699187174893e-03,2.391709795743154367e-04,-2.483711424441564508e-01,1.247950201725201103e+00,1.496321344169357248e+00,8.573289781624646366e+01
7.599986922305256485e+02,3.139661174389883798e-03,2.435718565794812442e-04,-2.540435890539657349e-01,1.241730204557462303e+00,1.495773793611427704e+00,8.570152548020706718e+01
7.649986836267790977e+02,3.174273595301971371e-03,2.480696560642429841e-04,-2.598494946430532915e-01,1.235375234806690203e+00,1.495224729449744272e+00,8.567006642106071013e+01
7.699986750230325470e+02,3.209590563052395953e-03,2.526668201392031558e-04,-2.657917021920799816e-01,1.228882421186833440e+00,1.494674123378913366e+00,8.563851901702781788e+01
7.749986664192859962e+02,3.245625851706628647e-03,2.573658439937388971e-04,-2.718730903247559283e-01,1.222248856149395602e+00,1.494121946474151752e+00,8.560688161084038938e+01
7.799986578155394454e+02,3.282393403139969093e-03,2.621692763002865002e-04,-2.780965726924345960e-01,1.215471596497273543e+00,1.493568169189708250e+00,8.557515250965155928e+01
7.849986492117928947e+02,3.319907321322478153e-03,2.670797195628293332e-04,-2.844650973106385705e-01,1.208547664047668224e+00,1.493012761358307294e+00,8.554332998500376561e+01
7.899986406080463439e+02,3.358181866061550180e-03,2.720998304106028417e-04,-2.909816458608386336e-01,1.201474046330041956e+00,1.492455692190880479e+00,8.551141227281334523e+01
7.949986320042997932e+02,3.397231446093538967e-03,2.772323198262271657e-04,-2.976492329524855762e-01,1.194247697324554602e+00,1.491896930277040179e+00,8.547939757339764810e+01
7.999986234005532424e+02,3.437070611533608443e-03,2.824799533061854331e-04,-3.044709053542687394e-01,1.186865538232192652e+00,1.491336443586461336e+00,8.544728405155422024e+01
8.049986147968068053e+02,3.477714045662644478e-03,2.878455509492590402e-04,-3.114497411835700502e-01,1.179324458287169364e+00,1.490774199470739081e+00,8.541506983666727137e+01
8.099986061930602546e+02,3.519176556016977847e-03,2.933319874673212101e-04,-3.185888490632602932e-01,1.171621315602493496e+00,1.490210164665753956e+00,8.538275302284313284e+01
