# frequency,input_amplitude,output_amplitude
7.050000000000000000e+02,5.015417442620480337e-02,2.132684145829995270e-02
7.100000000000000000e+02,5.067092089427660540e-02,2.124735206554416792e-02
7.150000000000000000e+02,4.907512715549009613e-02,2.100461930184973486e-02
7.200000000000000000e+02,5.045223607377462977e-02,2.098446527098832282e-02
7.250000000000000000e+02,5.038032551808144244e-02,2.086419783609236300e-02
7.300000000000000000e+02,4.909511206918762416e-02,2.064678399084536944e-02
7.350000000000000000e+02,5.078252439801275719e-02,2.065633412860185328e-02
7.400000000000000000e+02,4.989725413099881796e-02,2.047696817359063656e-02
7.450000000000000000e+02,4.938033224905685747e-02,2.031953967606326891e-02
7.500000000000000000e+02,5.094688239817236203e-02,2.032689315389828166e-02
7.550000000000000000e+02,4.933297071649963422e-02,2.009326581456398128e-02
7.600000000000000000e+02,5.000266861098735111e-02,2.002914654235296230e-02
7.650000000000000000e+02,5.067686565111359509e-02,1.997428341667138035e-02
7.700000000000000000e+02,4.904648387072307880e-02,1.973959658953853072e-02
7.750000000000000000e+02,5.072165169702193277e-02,1.975840589595730806e-02
7.800000000000000000e+02,4.989498979418740404e-02,1.959105004390355315e-02
7.850000000000000000e+02,4.946864333641940586e-02,1.944921768769460393e-02
7.900000000000000000e+02,5.092506756504930343e-02,1.945905902481533112e-02
7.950000000000000000e+02,4.911711402773088347e-02,1.921590249302812872e-02
8.000000000000000000e+02,5.046694786404910815e-02,1.921506613723101761e-02
8.050000000000000000e+02,5.015826454686728164e-02,1.909249855607125443e-02
8.100000000000000000e+02,4.931598659358445158e-02,1.892364803640905063e-02
8.150000000000000000e+02,5.095846649175629628e-02,1.895368144433338259e-02
8.200000000000000000e+02,4.912406667702196028e-02,1.871178590017749319e-02
8.250000000000000000e+02,5.050514437090094372e-02,1.871983074701034228e-02
8.300000000000000000e+02,5.004534157307692632e-02,1.858948377678331862e-02
8.350000000000000000e+02,4.945866481021320843e-02,1.844461863078435820e-02
8.400000000000000000e+02,5.089133385112504238e-02,1.846494786661865423e-02
8.450000000000000000e+02,4.902113604305707167e-02,1.822210882982069902e-02
8.500000000000000000e+02,5.081518470410531507e-02,1.827030040967358993e-02
8.550000000000000000e+02,4.955687345739374916e-02,1.807928255415582053e-02
8.600000000000000000e+02,5.000503093997518689e-02,1.802081900843224491e-02
8.650000000000000000e+02,5.045538640652352802e-02,1.796890426937742397e-02
8.700000000000000000e+02,4.921519739295471263e-02,1.777751275123673827e-02
8.750000000000000000e+02,5.097246708099441997e-02,1.783155846743679496e-02
8.800000000000000000e+02,4.901984044395094747e-02,1.758524796287637762e-02
8.850000000000000000e+02,5.083331044874809385e-02,1.764397848129942159e-02
8.900000000000000000e+02,4.944638122006494996e-02,1.744585611810049383e-02
8.950000000000000000e+02,5.023256264964268830e-02,1.742194013473708641e-02
9.000000000000000000e+02,5.014075783989178914e-02,1.733167921288525717e-02
9.050000000000000000e+02,4.955224051083465669e-02,1.719693107801677917e-02
9.100000000000000000e+02,5.072513731469949910e-02,1.721222102972395224e-02
9.150000000000000000e+02,4.909797364471678999e-02,1.699365514937746166e-02
9.200000000000000000e+02,5.100248694056423726e-02,1.707063095230564737e-02
9.250000000000000000e+02,4.898214046647277053e-02,1.682093525398021747e-02
9.300000000000000000e+02,5.096408040434883407e-02,1.690553852981355187e-02
9.350000000000000000e+02,4.915118022395810471e-02,1.667445093956066229e-02
9.400000000000000000e+02,5.070804055229737733e-02,1.672487903074542509e-02
9.450000000000000000e+02,4.947843700872137096e-02,1.654407839592747509e-02
9.500000000000000000e+02,5.035671376510272162e-02,1.653886941392070445e-02
9.550000000000000000e+02,4.984383671631555796e-02,1.642002941339963315e-02
9.600000000000000000e+02,5.000694761290937901e-02,1.635562556709474827e-02
9.650000000000000000e+02,5.016983936526818455e-02,1.629575478413619258e-02
9.700000000000000000e+02,4.971406281877380207e-02,1.617975079961938428e-02
9.750000000000000000e+02,5.042265986131509725e-02,1.616820641456755137e-02
9.800000000000000000e+02,4.949735983574117537e-02,1.601281613341871968e-02
9.850000000000000000e+02,5.059821687000341794e-02,1.603681717992759201e-02
9.900000000000000000e+02,4.935404777354083367e-02,1.585454794919200633e-02
9.950000000000000000e+02,5.070640141448366778e-02,1.590224407227192743e-02
1.000000000000000000e+03,4.927288654404624740e-02,1.570397605434055432e-02
1.005000000000000000e+03,5.075928994451085058e-02,1.576537077025507577e-02
1.010000000000000000e+03,4.924390269227463257e-02,1.556025238100570279e-02
1.015000000000000000e+03,5.076409130499124484e-02,1.562667892414171603e-02
1.020000000000000000e+03,4.926381755823015102e-02,1.542312083755203143e-02
1.025000000000000000e+03,5.071989325272945742e-02,1.548593638325149006e-02
1.030000000000000000e+03,4.933790962264338748e-02,1.529309775999537074e-02
1.035000000000000000e+03,5.061740295624952979e-02,1.534214959465082448e-02
1.040000000000000000e+03,4.947862031728476190e-02,1.517137876716325752e-02
1.045000000000000000e+03,5.044181030268195948e-02,1.519380623285454535e-02
1.050000000000000000e+03,4.970026785355327603e-02,1.505939768291221503e-02
1.055000000000000000e+03,5.017989480364989235e-02,1.503952272840732712e-02
1.060000000000000000e+03,5.000875865083351940e-02,1.495790549085960000e-02
1.065000000000000000e+03,4.983275367280586010e-02,1.487922912976292512e-02
1.070000000000000000e+03,5.038629757993313280e-02,1.486551444006930893e-02
1.075000000000000000e+03,4.943382698962592997e-02,1.471585384353604233e-02
1.080000000000000000e+03,5.077474748169756580e-02,1.477698413569909254e-02
1.085000000000000000e+03,4.906656260996785507e-02,1.455697842533346976e-02
1.090000000000000000e+03,5.106724216758611740e-02,1.468216115462794846e-02
1.095000000000000000e+03,4.886645195797453822e-02,1.441510462449582634e-02
1.100000000000000000e+03,5.112331204542737428e-02,1.456721048028581864e-02
1.105000000000000000e+03,4.898354133403497179e-02,1.430445278474088387e-02
1.110000000000000000e+03,5.082294531349140082e-02,1.441993099359152250e-02
1.115000000000000000e+03,4.949108878889405677e-02,1.423283370056407232e-02
1.120000000000000000e+03,5.016211071840767644e-02,1.423942155745631759e-02
1.125000000000000000e+03,5.027229938778184776e-02,1.419065770948681193e-02
1.130000000000000000e+03,4.935532180989467277e-02,1.404613532123427135e-02
1.135000000000000000e+03,5.097818208271198692e-02,1.414507689963821584e-02
1.140000000000000000e+03,4.884356530794430745e-02,1.388219554120380568e-02
1.145000000000000000e+03,5.115421086590125899e-02,1.405053488992425402e-02
1.150000000000000000e+03,4.906434496810863771e-02,1.378991896268376600e-02
1.155000000000000000e+03,5.054774022911287523e-02,1.388024827299953745e-02
1.160000000000000000e+03,5.001070526792280452e-02,1.377110828460524801e-02
1.165000000000000000e+03,4.946023529658590684e-02,1.366350065890351365e-02
1.170000000000000000e+03,5.100173874776375155e-02,1.376143930831298483e-02
1.175000000000000000e+03,4.879162471383004240e-02,1.348880478121254611e-02
1.180000000000000000e+03,5.110679753481389004e-02,1.366618682564008265e-02
1.185000000000000000e+03,4.932737557025816677e-02,1.343400449444063019e-02
1.190000000000000000e+03,5.005745292584101724e-02,1.345545216665084733e-02
1.195000000000000000e+03,5.064473073269720738e-02,1.346160525387482890e-02
1.200000000000000000e+03,4.888222815870357785e-02,1.323288775161774768e-02
1.205000000000000000e+03,5.123007018509513621e-02,1.341960177587749915e-02
1.210000000000000000e+03,4.912013542127290078e-02,1.315283347185270020e-02
1.215000000000000000e+03,5.020618559998462488e-02,1.321357428113987403e-02
1.220000000000000000e+03,5.061731026017785018e-02,1.320459361754510418e-02
1.225000000000000000e+03,4.883530264571176588e-02,1.297267168442306842e-02
1.230000000000000000e+03,5.122697136196974199e-02,1.316996964709184204e-02
1.235000000000000000e+03,4.929620768693983995e-02,1.291954556665174739e-02
1.240000000000000000e+03,4.985903464335354751e-02,1.292988484651906751e-02
1.245000000000000000e+03,5.098167652829881102e-02,1.299816359045239365e-02
1.250000000000000000e+03,4.870023580744759634e-02,1.271203626985474219e-02
1.255000000000000000e+03,5.092818475786568128e-02,1.289806880623332007e-02
