time,input_v,output_v
2.759999999999999867e-04,1.379999999999999893e+00,3.044134185541549182e-05
2.779999999999999811e-04,1.389999999999999902e+00,3.175303518876978446e-05
2.799999999999999755e-04,1.399999999999999911e+00,3.310849526640704366e-05
2.820000000000000241e-04,1.410000000000000142e+00,3.450874901505791934e-05
2.840000000000000185e-04,1.420000000000000151e+00,3.595483672849217896e-05
2.860000000000000129e-04,1.430000000000000160e+00,3.744781207345349472e-05
2.880000000000000073e-04,1.439999999999999947e+00,3.898874209431260889e-05
2.900000000000000017e-04,1.449999999999999956e+00,4.057870721645600768e-05
2.919999999999999961e-04,1.459999999999999964e+00,4.221880124842711213e-05
2.939999999999999905e-04,1.469999999999999973e+00,4.391013138283693341e-05
2.959999999999999849e-04,1.479999999999999982e+00,4.565381819606086208e-05
2.979999999999999793e-04,1.489999999999999991e+00,4.745099564673822720e-05
2.999999999999999737e-04,1.500000000000000000e+00,4.930281107309110499e-05
3.020000000000000223e-04,1.510000000000000009e+00,5.121042518907864018e-05
3.040000000000000167e-04,1.520000000000000018e+00,5.317501207940310238e-05
3.060000000000000111e-04,1.530000000000000027e+00,5.519775919338368981e-05
3.080000000000000055e-04,1.540000000000000036e+00,5.727986733771397743e-05
3.099999999999999999e-04,1.550000000000000044e+00,5.942255066811875090e-05
3.119999999999999944e-04,1.560000000000000053e+00,6.162703667992584539e-05
3.139999999999999888e-04,1.570000000000000062e+00,6.389456619756849365e-05
3.159999999999999832e-04,1.580000000000000071e+00,6.622639336303345675e-05
3.179999999999999776e-04,1.589999999999999858e+00,6.862378562327013003e-05
3.200000000000000262e-04,1.600000000000000089e+00,7.108802371657578956e-05
3.220000000000000206e-04,1.610000000000000098e+00,7.362040165797176477e-05
3.240000000000000150e-04,1.620000000000000107e+00,7.622222672358535712e-05
3.260000000000000094e-04,1.630000000000000115e+00,7.889481943405218204e-05
3.280000000000000038e-04,1.640000000000000124e+00,8.163951353695344897e-05
3.299999999999999982e-04,1.650000000000000133e+00,8.445765598830245037e-05
3.319999999999999926e-04,1.659999999999999698e+00,8.735060693309465234e-05
3.339999999999999870e-04,1.669999999999999929e+00,9.031973968493535964e-05
3.359999999999999814e-04,1.679999999999999716e+00,9.336644070475894118e-05
3.379999999999999758e-04,1.689999999999999947e+00,9.649210957865358887e-05
3.400000000000000244e-04,1.700000000000000178e+00,9.969815899480509425e-05
3.420000000000000188e-04,1.710000000000000187e+00,1.029860147195733991e-04
3.440000000000000132e-04,1.720000000000000195e+00,1.063571155727152960e-04
3.460000000000000076e-04,1.729999999999999982e+00,1.098129134017665606e-04
3.480000000000000020e-04,1.739999999999999769e+00,1.133548730555967294e-04
