# Time,Input,Output
1.0070000000000001,-1.9719999999999995,-1e-08
1.008,-1.9679999999999997,-1e-08
1.0090000000000001,-1.9639999999999995,-1e-08
1.01,-1.9600000000000002,-1e-08
1.0110000000000001,-1.9559999999999993,-1e-08
1.012,-1.9520000000000002,-1e-08
1.0130000000000001,-1.9479999999999993,-1e-08
1.014,-1.9440000000000002,-1e-08
1.0150000000000001,-1.9399999999999997,-1e-08
1.016,-1.936,-1e-08
1.0170000000000001,-1.9319999999999997,-1e-08
1.018,-1.928,-1e-08
1.0190000000000001,-1.9239999999999997,-1e-08
1.02,-1.92,-1e-08
1.0210000000000001,-1.9159999999999995,-1e-08
1.022,-1.912,-1e-08
1.0230000000000001,-1.9079999999999995,-1e-08
1.024,-1.9039999999999997,-1e-08
1.025,-1.9000000000000006,-1e-08
1.026,-1.8959999999999997,-1e-08
1.027,-1.8920000000000006,-1e-08
1.028,-1.8880000000000001,-1e-08
1.029,-1.8840000000000003,-1e-08
1.03,-1.8800000000000001,-1e-08
1.031,-1.8760000000000003,-1e-08
1.032,-1.872,-1e-08
1.033,-1.8680000000000003,-9.999999999999999e-09
1.034,-1.8639999999999999,-9.999999999999999e-09
1.035,-1.8600000000000003,-9.999999999999999e-09
1.036,-1.8559999999999999,-9.999999999999999e-09
1.037,-1.852,-9.999999999999999e-09
1.038,-1.8479999999999999,-9.999999999999999e-09
1.039,-1.844,-9.999999999999999e-09
1.04,-1.8399999999999999,-9.999999999999999e-09
1.041,-1.836,-9.999999999999999e-09
1.042,-1.8319999999999996,-9.999999999999999e-09
1.043,-1.8280000000000005,-9.999999999999999e-09
1.044,-1.8239999999999996,-9.999999999999999e-09
1.045,-1.8200000000000005,-9.999999999999999e-09
1.046,-1.8159999999999996,-9.999999999999999e-09
1.047,-1.8120000000000003,-9.999999999999999e-09
1.048,-1.808,-9.999999999999999e-09
1.049,-1.8040000000000003,-9.999999999999999e-09
1.05,-1.8,-9.999999999999999e-09
1.051,-1.7960000000000003,-9.999999999999999e-09
1.052,-1.7919999999999998,-9.999999999999999e-09
1.053,-1.7880000000000003,-9.999999999999997e-09
1.054,-1.7839999999999998,-9.999999999999997e-09
1.055,-1.78,-9.999999999999997e-09
1.056,-1.7759999999999998,-9.999999999999997e-09
1.057,-1.772,-9.999999999999997e-09
1.058,-1.7679999999999998,-9.999999999999997e-09
1.059,-1.764,-9.999999999999997e-09
1.06,-1.7599999999999996,-9.999999999999995e-09
1.061,-1.7560000000000004,-9.999999999999995e-09
1.062,-1.7519999999999996,-9.999999999999995e-09
1.063,-1.7480000000000004,-9.999999999999994e-09
1.064,-1.7439999999999996,-9.999999999999994e-09
1.065,-1.7400000000000002,-9.999999999999992e-09
1.066,-1.736,-9.999999999999992e-09
1.067,-1.7320000000000002,-9.999999999999992e-09
1.068,-1.728,-9.99999999999999e-09
1.069,-1.7240000000000002,-9.999999999999989e-09
1.07,-1.7199999999999998,-9.999999999999989e-09
1.071,-1.7160000000000002,-9.999999999999989e-09
1.072,-1.7119999999999997,-9.999999999999987e-09
1.073,-1.7080000000000002,-9.999999999999987e-09
