# frequency(Hz) , input_amplitude(V) , output_amplitude(V)
8.199999999999999289e+00,1.234566235993274710e-02,4.595091187362633153e-03
8.300000000000000711e+00,1.570796327117401832e-05,5.785715662410785353e-06
8.400000000000000355e+00,1.204817570737717891e-02,4.391932704958186745e-03
8.500000000000000000e+00,1.570796327117799938e-05,5.667488187812695902e-06
8.599999999999999645e+00,1.176468840735445803e-02,4.201711313884333790e-03
8.699999999999999289e+00,1.570796327118399637e-05,5.553654443678624050e-06
8.800000000000000711e+00,1.149423498727610883e-02,4.023369306622111112e-03
8.900000000000000355e+00,1.570796327118011696e-05,5.443994852530956096e-06
9.000000000000000000e+00,1.123593675860657011e-02,3.855953344610670800e-03
9.099999999999999645e+00,1.570796327117925976e-05,5.338302474284635752e-06
9.199999999999999289e+00,1.098899228015403490e-02,3.698602493059615325e-03
9.300000000000000711e+00,1.570796327117715912e-05,5.236382303519203487e-06
9.400000000000000355e+00,1.075266905190452697e-02,3.550537809708445569e-03
9.500000000000000000e+00,1.570796327117744711e-05,5.138050584984597327e-06
9.599999999999999645e+00,1.052629625805573919e-02,3.411053262868036194e-03
9.700000000000001066e+00,1.570796327117848049e-05,5.043134152689315679e-06
9.800000000000000711e+00,1.030925840782000689e-02,3.279507789796785346e-03
9.900000000000000355e+00,1.570796327117962229e-05,4.951469796183811299e-06
1.000000000000000000e+01,1.010098974703896833e-02,3.155318335991095895e-03
1.009999999999999964e+01,1.570796327117789096e-05,4.862903656249005858e-06
1.020000000000000107e+01,9.900969333764773547e-03,3.037953740469142520e-03
1.030000000000000071e+01,1.570796327117917845e-05,4.777290651173827311e-06
1.040000000000000036e+01,9.708716687560212805e-03,2.926929352525481885e-03
1.050000000000000000e+01,1.570796327117691518e-05,4.694493933998571824e-06
1.059999999999999964e+01,9.523787936021262807e-03,2.821802282474083177e-03
1.070000000000000107e+01,1.570796327118469433e-05,4.614384380559684548e-06
1.080000000000000071e+01,9.345772393465748284e-03,2.722167203178073487e-03
1.090000000000000036e+01,1.570796327117576321e-05,4.536840107676107869e-06
1.100000000000000000e+01,9.174289516279904647e-03,2.627652631167276716e-03
1.109999999999999964e+01,1.570796327117429954e-05,4.461746020632585866e-06
1.120000000000000107e+01,9.008986187416722843e-03,2.537917626263623203e-03
1.130000000000000071e+01,1.570796327117499411e-05,4.388993388740044193e-06
1.140000000000000036e+01,8.849534289266160550e-03,2.452648857188147700e-03
1.150000000000000000e+01,1.570796327117935802e-05,4.318479447799390640e-06
1.159999999999999964e+01,8.695628529791036079e-03,2.371557987873443470e-03
1.170000000000000107e+01,1.570796327118373549e-05,4.250107028083098013e-06
1.180000000000000071e+01,8.546984491623372746e-03,2.294379345366595602e-03
1.190000000000000036e+01,1.570796327117347961e-05,4.183784206476931387e-06
1.200000000000000000e+01,8.403336877890530202e-03,2.220867835456264133e-03
1.209999999999999964e+01,1.570796327118086574e-05,4.119423981417983191e-06
1.220000000000000107e+01,8.264437932008974683e-03,2.150797076639694889e-03
1.230000000000000071e+01,1.570796327116987464e-05,4.056943969205428156e-06
1.240000000000000036e+01,8.130056011644492750e-03,2.083957726881833800e-03
1.250000000000000000e+01,1.570796327117934786e-05,3.996266120472828287e-06
1.259999999999999964e+01,7.999974299572264538e-03,2.020155980909867262e-03
1.270000000000000107e+01,1.570796327118064890e-05,3.937316455399271485e-06
1.280000000000000071e+01,7.873989636345420443e-03,1.959212218615944898e-03
1.290000000000000036e+01,1.570796327118766911e-05,3.880024816574902792e-06
1.300000000000000000e+01,7.751911461552542064e-03,1.900959787578607174e-03
1.309999999999999964e+01,1.570796327117830092e-05,3.824324638241170369e-06
1.320000000000000107e+01,7.633560852059256656e-03,1.845243904818067793e-03
1.330000000000000071e+01,1.570796327118218711e-05,3.770152730891851761e-06
1.340000000000000036e+01,7.518769647024982870e-03,1.791920664720978579e-03
1.350000000000000000e+01,1.570796327117425549e-05,3.717449080104310337e-06
1.359999999999999964e+01,7.407379650695987069e-03,1.740856141648348260e-03
1.370000000000000107e+01,1.570796327117998482e-05,3.666156658721606691e-06
1.380000000000000071e+01,7.299241905026785868e-03,1.691925577110441623e-03
1.390000000000000036e+01,1.570796327117998482e-05,3.616221251368106440e-06
1.400000000000000000e+01,7.194216025096814189e-03,1.645012642584596594e-03
1.409999999999999964e+01,1.570796327118134008e-05,3.567591290528225740e-06
1.420000000000000107e+01,7.092169591087385365e-03,1.600008770090780410e-03
1.430000000000000071e+01,1.570796327117870411e-05,3.520217703321256447e-06
1.440000000000000036e+01,6.992977591281554148e-03,1.556812543546741770e-03
1.450000000000000000e+01,1.570796327117373372e-05,3.474053768264800201e-06
1.459999999999999964e+01,6.896521911160550730e-03,1.515329144717829672e-03
1.470000000000000107e+01,1.570796327117844661e-05,3.429054981313746066e-06
1.480000000000000071e+01,6.802690864206631730e-03,1.475469848271409364e-03
1.490000000000000036e+01,1.570796327118019150e-05,3.385178930523270503e-06
1.500000000000000000e+01,6.711378760493606072e-03,1.437151561055463817e-03
1.509999999999999964e+01,1.570796327118167550e-05,3.342385178759338553e-06
1.520000000000000107e+01,6.622485509561595179e-03,1.400296401256768356e-03
1.530000000000000071e+01,1.570796327117811796e-05,3.300635153867733732e-06
1.540000000000000036e+01,6.535916254438752307e-03,1.364831313565548470e-03
1.550000000000000000e+01,1.570796327118042528e-05,3.259892045806848179e-06
1.559999999999999964e+01,6.451581033997007969e-03,1.330687716889316675e-03
1.570000000000000107e+01,1.570796327117866684e-05,3.220120710240513993e-06
1.580000000000000071e+01,6.369394471114794322e-03,1.297801181525375797e-03
1.590000000000000036e+01,1.570796327118069972e-05,3.181287578172821379e-06
1.600000000000000000e+01,6.289275484374776820e-03,1.266111133026057937e-03
1.610000000000000142e+01,1.570796327117817895e-05,3.143360571179939085e-06
1.620000000000000284e+01,6.211147021249910881e-03,1.235560580277863651e-03
1.630000000000000071e+01,1.570796327117895144e-05,3.106309021883594512e-06
1.640000000000000213e+01,6.134935810932279007e-03,1.206095865570354451e-03
1.650000000000000355e+01,1.570796327117611558e-05,3.070103599283589253e-06
1.660000000000000142e+01,6.060572135137986052e-03,1.177666434656608838e-03
1.670000000000000284e+01,1.570796327117751488e-05,3.034716238643891753e-06
1.680000000000000071e+01,5.987989615381165281e-03,1.150224625008051428e-03
1.690000000000000213e+01,1.570796327117963246e-05,3.000120075602789681e-06
1.700000000000000355e+01,5.917125015352796800e-03,1.123725470645233837e-03
1.710000000000000142e+01,1.570796327117829076e-05,2.966289384241156113e-06
1.720000000000000284e+01,5.847918057167674800e-03,1.098126522085549756e-03
