# Time,Velocity,Height,Radius
0.129,8.709536,1.1316590442666683,0.0031267022327377786
0.13,8.709535999999998,1.1403685802666683,0.003149662928290686
0.131,8.709536,1.1490781162666683,0.0031733132764409826
0.132,8.709535999999998,1.1577876522666684,0.0031976903642034695
0.133,8.709536,1.1664971882666684,0.003222834195046726
0.134,8.709535999999998,1.1752067242666684,0.003248787994254526
0.135,8.709536,1.1839162602666684,0.0032755985546134327
0.136,8.709535999999998,1.1926257962666684,0.0033033166289113914
0.137,8.709536,1.2013353322666684,0.0033319973769711194
0.138,8.709535999999998,1.2100448682666685,0.003361700876457281
0.139,8.709536,1.2187544042666685,0.003392492708558685
0.14,8.709535999999998,1.2274639402666685,0.003424444631947604
0.14100000000000001,8.709536,1.2361734762666685,0.0034576353612769018
0.14200000000000002,8.709535999999998,1.2448830122666685,0.003492151470047866
0.14300000000000002,8.709536,1.2535925482666685,0.003528088442173232
0.14400000000000002,8.709535999999998,1.2623020842666686,0.0035655519022443037
0.145,8.709536,1.2710116202666686,0.0036046590617547954
0.146,8.709535999999998,1.2797211562666686,0.003645540427832521
0.147,8.709536,1.2884306922666686,0.0036883418330590765
0.148,8.709535999999998,1.2971402282666686,0.003733226860648233
0.149,8.709536,1.3058497642666687,0.003780379759901525
0.15,8.709535999999998,1.3145593002666687,0.003830008974287888
0.151,8.709536,1.3232688362666687,0.003882351441299622
0.152,8.709535999999998,1.3319783722666687,0.003937677873163852
0.153,8.709536,1.3406879082666687,0.0039962992960111505
0.154,8.709535999999998,1.3493974442666687,0.0040585752203420354
0.155,8.709536,1.3581069802666688,0.004124923949828668
0.156,8.709535999999998,1.3668165162666688,0.004195835727415188
0.157,8.709536,1.3755260522666688,0.004271889696668929
0.158,8.709535999999998,1.3842355882666688,0.004353776069174701
0.159,8.709536,1.3929451242666688,0.004442325511788736
0.16,8.709535999999998,1.4016546602666689,0.004538548728456333
0.161,8.709536,1.4103641962666689,0.0046436907295968706
0.162,8.709535999999998,1.4190737322666689,0.004759306747146591
