frequency,input_amplitude,output_amplitude,input_phase,output_phase,phase_diff_rad,phase_diff_deg
2.549995612089263659e+02,1.653674312735378552e-03,2.732819918741771604e-05,-2.780304504294654061e-02,1.526334613064636248e+00,1.554137658107582531e+00,8.904552859191016978e+01
2.599995526051798151e+02,1.658118182793372111e-03,2.794561973444127659e-05,-2.850440198956247229e-02,1.525333958295508552e+00,1.553838360285071385e+00,8.902838008986282148e+01
2.649995440014332644e+02,1.662669799875659713e-03,2.856820374011243932e-05,-2.921588823951983341e-02,1.524322419814795992e+00,1.553538308054315698e+00,8.901118836340702956e+01
2.699995353976867136e+02,1.667330531677465580e-03,2.919609269242294053e-05,-2.993780431561261085e-02,1.523299725377468716e+00,1.553237529693081376e+00,8.899395503273944996e+01
2.749995267939402197e+02,1.672101785028032002e-03,2.982943085523604608e-05,-3.067045769315876469e-02,1.522265593484461332e+00,1.552936051177620458e+00,8.897668158618967027e+01
2.799995181901936689e+02,1.676985006720492196e-03,3.046836535772257158e-05,-3.141416302343832956e-02,1.521219733364673088e+00,1.552633896388111223e+00,8.895936939199111748e+01
2.849995095864471182e+02,1.681981684393196990e-03,3.111304628672610509e-05,-3.216924236215883831e-02,1.520161844930200123e+00,1.552331087292359246e+00,8.894201970880635599e+01
2.899995009827005674e+02,1.687093347395908884e-03,3.176362678095610327e-05,-3.293602539826395031e-02,1.519091618711945646e+00,1.552027644110209881e+00,8.892463369514717897e+01
2.949994923789540167e+02,1.692321567727801939e-03,3.242026312862145572e-05,-3.371484969564113310e-02,1.518008735765768780e+00,1.551723585461409982e+00,8.890721241784649465e+01
2.999994837752074659e+02,1.697667960947981704e-03,3.308311486679223375e-05,-3.450606093219901055e-02,1.516912867566104994e+00,1.551418928498303984e+00,8.888975685966124729e+01
3.049994751714609720e+02,1.703134187174168120e-03,3.375234488468492963e-05,-3.531001315932221635e-02,1.515803675866380207e+00,1.551113689025701792e+00,8.887226792614035276e+01
3.099994665677144212e+02,1.708721952050624602e-03,3.442811952874563509e-05,-3.612706904527659968e-02,1.514680812563232060e+00,1.550807881608508243e+00,8.885474645179135678e+01
3.149994579639678705e+02,1.714433007788969572e-03,3.511060871155095311e-05,-3.695760015572480128e-02,1.513543919514012126e+00,1.550501519669737149e+00,8.883719320569633737e+01
3.199994493602213197e+02,1.720269154222081901e-03,3.579998602350622594e-05,-3.780198720215822983e-02,1.512392628376120429e+00,1.550194615578278423e+00,8.881960889654044422e+01
3.249994407564747689e+02,1.726232239862805036e-03,3.649642884720612993e-05,-3.866062033438192463e-02,1.511226560394879348e+00,1.549887180729260905e+00,8.880199417721649979e+01
3.299994321527282182e+02,1.732324163040300158e-03,3.720011847602275757e-05,-3.953389941075871605e-02,1.510045326205532668e+00,1.549579225616291467e+00,8.878434964896388237e+01
3.349994235489816674e+02,1.738546873018538639e-03,3.791124023508811263e-05,-4.042223429550393515e-02,1.508848525602138890e+00,1.549270759897642735e+00,8.876667586516083475e+01
3.399994149452351735e+02,1.744902371186546992e-03,3.862998360658268361e-05,-4.132604515632973263e-02,1.507635747299736595e+00,1.548961792456066355e+00,8.874897333475155392e+01
